"Date","Leaders","Place","Participating Officials","Officials Rank","Description","Resources"
"1991/06/17 - 1991/06/20","Jiang Zemin/Kim Il-sung","North Korea","Qian Qichen (钱其琛) and Kim Il-sung (金日成)","State Councilor and Minister of Foreign Affairs (国务委员兼外长) and General Secretary of Workers' Party of Korea (朝鲜劳动党中央委员会总书记)","Friendly Visit: Official friendly visit","http://www.fmprc.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_676404/sbgx_676408/"
"1991/07/20","Jiang Zemin/Kim Il-sung","China","Ri Ja-bang (李子方) and Wan Li (万里)","Member of Central Committee of the Workers' Party of Korea (朝鲜劳动党中央委员会委员) and Chairman of the Standing Committee of the National People's Congress (中华人民共和国全国人民代表大会常务委员会委员长)","Goodwill Visit",""
"1991/08/24","Jiang Zemin/Kim Il-sung","North Korea","Zhu Liang (朱良) and Kim Il-sung (金日成)","Head of International Liaison Department of the Communist Party of China (中共中央对外联络部部长) and General Secretary of Workers' Party of Korea (朝鲜劳动党中央委员会总书记)","Goodwill Visit","http://www.ziliaoku.org/rmrb/1991-08-24-6"
"1991/10/04 - 1991/10/13","Jiang Zemin/Kim Il-sung","China","Kim Il-sung (金日成) and Jiang Zemin (江泽民)","General Secretary of Workers' Party of Korea (朝鲜劳动党中央委员会总书记) and General Secretary of Communist Party of China (中共中央总书记)","Summit Meeting: Official friendly visit, first since Jiang came into power","http://www.ziliaoku.org/rmrb/1991-10-05-1#887736"
"1992/04/12 - 1992/04/17","Jiang Zemin/Kim Il-sung","North Korea","Yang Shangkun (杨尚昆) and Kim Il-sung (金日成)","President (中华人民共和国主席) and President (朝鲜民主主义人民共和國主席)","State Visit: Official friendly visit","http://bit.ly/2mCcuAl"
"1992/05/20 - 1992/05/29","Jiang Zemin/Kim Il-sung","China","Yang Hyong-sop (杨亨燮) and Wan Li (万里)","Chairman of the Standing Committee of the Supreme People's Assembly (朝鲜最高人民会议议长) and Chairman of the Standing Committee of the National People's Congress (中华人民共和国全国人民代表大会常务委员会委员长)","Goodwill Visit: Also visited Shandong and Jiangsu provinces","http://www.jssdfz.com/book/wsz/FL/FL1.html"
"1992/07/15","Jiang Zemin/Kim Il-sung","North Korea","Qian Qichen (钱其琛) and Kim Il-sung (金日成)","Minister of Foreign Affairs (中华人民共和国外交部长) and President (朝鲜民主主义人民共和國主席)","Goodwill Visit: Informed Kim of China's imminent normalization of relations with South Korea","http://bit.ly/2lVk6PN"
"1993/07/26 - 1993/07/29","Jiang Zemin/Kim Il-sung","North Korea","Hu Jintao (胡锦涛) and Kim Il-sung (金日成)","Member of the Politburo Standing Committee and Secretary of the Secretariat of the Communist Party of China (中国共产党中央政治局常务委员会委员, 书记处书记) and General Secretary of Workers' Party of Korea (朝鲜劳动党中央委员会总书记)","Anniversary Visit: 40th anniversary of the end of the Korean War","http://www.ziliaoku.org/rmrb/1993-07-28-1#908652"
"1994/02/22 - 1994/02/24","Jiang Zemin/Kim Il-sung","North Korea","Li Shuzheng (李淑铮) and Kim Il-sung (金日成)","Head of International Liaison Department of the Communist Party of China (中共中央对外联络部部长) and General Secretary of Workers' Party of Korea (朝鲜劳动党中央委员会总书记)","Goodwill Visit: Invited Kim Il-sung to visit China on behalf of General Secretary Jiang Zemin","http://www.ziliaoku.org/rmrb/1994-02-26-6"
"1994/06/06 - 1994/06/13","Jiang Zemin/Kim Il-sung","China","Choe Kwang (崔光) and Jiang Zemin (江泽民)","Member of Politburo of Workers' Party of Korea and Chief of General Staff Department of Korean People's Army (朝鲜劳动党中央政治局委员, 朝鲜人民军总参谋长) and General Secretary of Communist Party of China (中国共产党中央委员会总书记)","Goodwill Visit: Korean People's Army delegation","http://www.ziliaoku.org/rmrb/1994-06-08-1#966534"
